temperature,humidity,light,timestamp
32.3,67.0,3791,2025-12-08 11:11:15.020000+05:30
32.3,67.0,3814,2025-12-08 11:06:13.348000+05:30
32.3,66.0,3799,2025-12-08 11:01:10.978000+05:30
32.3,67.0,3821,2025-12-08 10:56:08.998000+05:30
32.3,67.0,3838,2025-12-08 10:51:07.415000+05:30
31.9,67.0,3836,2025-12-08 10:46:05.543000+05:30
31.8,67.0,3846,2025-12-08 10:41:03.398000+05:30
31.8,67.0,3849,2025-12-08 10:36:00.420000+05:30
31.8,67.0,3842,2025-12-08 10:30:58.575000+05:30
31.8,67.0,3861,2025-12-08 10:25:56.798000+05:30
32.3,67.0,3870,2025-12-08 10:20:55.004000+05:30
32.8,67.0,3886,2025-12-08 10:15:53.220000+05:30
34.2,62.0,3907,2025-12-08 10:10:51.014000+05:30
33.8,63.0,3974,2025-12-08 10:05:49.190000+05:30
31.8,68.0,4095,2025-12-08 10:00:47.513000+05:30
31.3,69.0,4035,2025-12-08 09:55:45.698000+05:30
30.8,69.0,3979,2025-12-08 09:50:43.424000+05:30
30.8,70.0,3854,2025-12-08 09:45:41.859000+05:30
30.8,70.0,3913,2025-12-08 09:40:39.958000+05:30
31.8,68.0,3871,2025-12-08 09:35:37.788000+05:30
31.3,70.0,3937,2025-12-08 09:30:35.985000+05:30
29.3,75.0,3970,2025-12-08 09:25:34.230000+05:30
29.3,76.0,3877,2025-12-08 09:20:31.971000+05:30
28.9,77.0,3839,2025-12-08 09:15:30.380000+05:30
28.9,78.0,3841,2025-12-08 09:10:28.496000+05:30
28.9,80.0,3826,2025-12-08 09:05:26.309000+05:30
28.9,79.0,3823,2025-12-08 09:00:24.340000+05:30
28.9,80.0,3818,2025-12-08 08:55:22.139000+05:30
28.0,82.0,3940,2025-12-08 08:50:19.736000+05:30
28.0,83.0,3862,2025-12-08 08:45:17.621000+05:30
27.6,84.0,3782,2025-12-08 08:40:15.891000+05:30
27.1,85.0,3783,2025-12-08 08:35:14.220000+05:30
27.1,85.0,3717,2025-12-08 08:30:12.640000+05:30
26.7,86.0,3692,2025-12-08 08:25:10.558000+05:30
26.7,88.0,3670,2025-12-08 08:20:08.860000+05:30
26.7,88.0,3649,2025-12-08 08:15:06.994000+05:30
26.2,89.0,3685,2025-12-08 08:10:05.335000+05:30
25.8,89.0,3690,2025-12-08 08:05:03.838000+05:30
25.3,89.0,3551,2025-12-08 08:00:01.952000+05:30
25.3,91.0,3510,2025-12-08 07:55:00.056000+05:30
24.8,92.0,3463,2025-12-08 07:49:58.299000+05:30
24.8,93.0,3344,2025-12-08 07:44:56.440000+05:30
24.8,93.0,3166,2025-12-08 07:39:54.374000+05:30
24.8,93.0,3264,2025-12-08 07:34:52.533000+05:30
24.8,93.0,3152,2025-12-08 07:29:50.503000+05:30
24.5,93.0,3070,2025-12-08 07:24:48.702000+05:30
24.5,93.0,3027,2025-12-08 07:19:46.935000+05:30
